Genotype	PodPerPlant_India_2018	PodPerPlant_India_2021	PodPerPlant_India_2018	PodPerPlant_India_2019	SW_India_2021	SW_India_2018	SeedPerPod_India_2017	SeedPerPod_India_2018	SeedPerPod_India_2018	SeedPerPod_India_2019	PodPerPlant_Bangladesh_2017	SeedPerPod_Bangladesh_2017	PodPerPlant_Bangladesh_2019	SW_Bangladesh_2019	SeedPerPod_Bangladesh_2019	SW_Bangladesh_2017	PodPerPlant_Bangladesh_2017	PodPerPlant_Bangladesh_2016	SW_Myanmar_2016
VI002646AG	61	10.5	4.05	3	3.38	5.6	11.75	14	12	7.5	8.9	9.8	29.4	5.01	11.2	2.4	14.5	12.8	7.4
VI002647AG	56.9	15	2.85	NA	3.05	5.9	11.75	10	9.45	NA	4.5	6.4	19.2	2.7	12.2	3	13.5	16.2	5.8
VI002672AG	74.15	20.5	10.9	2.925	5.39	6.5	12.5	12	10.65	5	NA	NA	14.7	4.315	10.9	3.2	8	9.2	5.8
VI002739AG	52.15	19	12.9	7.1	7.26	3.4	10	12	12.5	8	7.2	10.4	17.48	4.07	10.235	2.6	12.5	5.4	7.2
VI002802A-BR	22.5	19	8.25	7.3	3.47	3.25	11	14	12.15	7.5	8	11.4	20.5	2.735	11.3	0	0	10.6	3.4
VI002859BG	91.7	40	5.3	4.335	3.26	2.8	11.5	13.5	12.5	8.5	9.1	7.8	22.6	2.68	10.8	0	0	30.6	3.6
VI002860AG	93.3	15.5	15.3	3.4	3.19	4	10	11.5	8.5	6.5	NA	NA	25.6	4.18	12.2	1.05	4	13.6	3
VI002872BG	102.8	30.5	24.8	6.7	4.83	2.85	11	14	9.65	7.5	7.3	8.8	22.2	4.335	11.4	3	10.5	16.2	4.6
VI002877BG	82.7	24.5	7.9	10.15	3.68	3.6	11.25	12	10.35	7	7	8.7	23.9	3.445	9.7	2.2	16.5	3.9	3.8
VI002894B-BR	63.8	17.5	10.9	4.825	4.35	4	11.25	14.5	10.15	7.5	NA	NA	17.8	3.795	13.6	2.25	14.5	4.2	4.6
VI002926AG	56.1	10.5	24.25	11.3	3.2	3.35	12.66666667	13	10.15	8.5	20.2	12	23	1.59	10.8	2.2	12	14.6	3
VI002934AG	52.7	31.5	7.15	6.3	4.29	2.55	12	13	10.65	6	7.935	8.5	43.4	3.19	11.6	2.5	15.5	11	4
VI002986AG	68.9	23.5	11.05	6.5	2.93	3.25	11.5	12.5	9.3	7	6.365	9.2	20.1	3.09	11.1	2.95	20.5	24	3.2
VI002993BG	97.3	36	9.15	6.7	3.17	2.25	12.25	13.5	11.65	8	13.8	9.8	16.3	3.73	10.95	2.75	12	13.6	3.2
VI002999AG	NA	18	5.15	NA	3.245	4.65	10.66666667	NA	11.8	NA	15	10.535	33.1	3.235	11.1	2.85	14.5	1.4	3
VI003019A-BLM	NA	17.5	4.6	4	4.44	3	12	NA	10.95	7	8.6	9.6	28.4	3.81	10	2.8	12.5	5.4	4
VI003019BG	50.55	38	2.6	6.25	3.815	4.1	12.5	15	11.65	8	5.55	9.5	16.4	4	14.4	2.4	8	12.3	4.4
VI003034BG	104.85	19.5	4.45	7.8	3.89	3.65	12.5	14	12.15	7.5	NA	NA	23.6	3.58	11.7	2.1	9.5	30.8	3.2
VI003035AG	110	18	7.35	8	3.49	2.25	10.66666667	14.5	10.3	8	13.3	9	21.2	4	10.8	2.4	4	3.2	3.4
VI003057BG	72.4	25	4.35	NA	3.53	2.35	12.25	11.5	11.5	NA	6	8.6	27.4	3.07	10.9	2.45	15	14.2	3
VI003062BG	73.65	32.5	12.35	2	3.34	2.05	11.66666667	12.5	10.8	5	NA	NA	22.6	3.405	12	1.9	5	5.9	3.8
VI003068A-BR	72.9	19	16.25	2.335	3.21	2.25	11	11.5	10.3	6.5	10.35	8.3	9.5	4.62	11.4	2.55	14.5	8.8	3.2
VI003070AG	79	25.5	8.85	4	3.09	2.7	12.25	12	12	8	NA	NA	17.2	3.72	12.6	2.8	19	11.7	3.4
VI003083BG	79.4	16	5.85	7.3	3.49	2.75	11.5	13.5	12.15	8.5	12.7	9.6	12.52	3.23	8.04	3	12	14.8	3.4
VI003114AG	93.2	23	9.25	9.5	3.27	3.25	10.66666667	13.5	8.65	6	15.6	8.4	18	6.48	11.6	3	21	5.9	3.8
VI003135B-BL	78.1	23	14.55	4.9	2.31	2.95	10.25	12	6.65	8.5	7.9	9.2	18.7	3.395	10.4	2.65	16	12.4	2.4
VI003159AG	83.6	34	2.55	NA	3.365	1.25	11	13	8.65	5	NA	NA	29.6	5.1	10.8	2.3	15	10.8	2.8
VI003172BG	105	39.5	11.75	6.2	3.18	2.75	11.5	12.5	11.85	8.5	11.15	9.1	22.8	4.2	11.1	2.7	14.5	11.7	3.6
VI003181B-GM	56.1	19.5	6.55	2	3.25	2.05	10.25	15	8.65	5.5	8	9.1	21.6	5.185	12.3	2.2	16.5	2.1	3.6
VI003183AG	95	34	12.85	7.8	2.02	3.95	10	11.7	10.45	8	NA	NA	22.4	3.94	11.6	2.7	13	NA	3.4
VI003187BG	105.2	24	5.25	15.1	3.63	3.85	10.5	11	12.15	6.5	19	11.4	24.3	4.09	10.9	2.8	3	13.6	3.8
